Name,Role,Tier,PatchType,Score,Trend,WinPercent,PrevWinPercent,WinPercentChange,PrevRolePercent,RolePercent,RolePercentChange,PrevPickPercent,PickPercent,PickPercentChange,PrevBanPercent,BanPercent,BanPercentChange,PrevKDA,KDA,KDAChange
Aphelios,ADC,God,Nerf,90.96,-1.01,49.54%,49.78%,-0.24%,84.13%,90.43%,6.30%,13.27%,10.26%,-3.01%,58.15%,61.15%,3.00%,2.19,2.21,0.02
Aurelion Sol,MID,Above Average,Nerf,50.26,0.6,52.91%,52.71%,0.20%,84.31%,84.96%,0.65%,1.12%,1.12%,0.00%,0.41%,0.39%,-0.02%,2.71,2.84,0.13
Azir,MID,Bad,Buff,36.96,-2.29,44.40%,46.38%,-1.98%,85.19%,87.93%,2.74%,1.31%,1.38%,0.07%,0.41,0.33%,-40.67%,1.97,2.09,0.12
Corki,MID,Weak,Buff,39.67,-0.78,46.20%,47.08%,-0.88%,73.96%,77.93%,3.97%,0.6,0.80%,-59.20%,0.29%,0.22%,-0.07%,2.34,2.45,0.11
Corki,ADC,Bad,Buff,21.11,-5.31,44.60%,46.15%,-1.55%,18.46%,14.89%,-3.57%,0.15%,0.13%,-0.02%,0.33%,0.28%,-0.05%,2.4,2.42,0.02
Jax,TOP,Strong,Buff,59.77,4.56,50.42%,50.44%,-0.02%,55.57%,55.23%,-0.34%,5.13%,6.34%,1.21%,10.91%,11.53%,0.62%,1.8,1.78,-0.02
Jax,JUNGLE,Above Average,Buff,52.62,5.21,49.31%,48.19%,1.12%,40.64%,42.07%,1.43%,4.99%,6.24%,1.25%,11.40%,12.03%,0.63%,2.04,2.05,0.01
Jayce,MID,Weak,Buff,41.27,-0.68,47.85%,48.24%,-0.39%,29.68%,29.69%,0.01%,0.65%,0.67%,0.02%,0.42%,0.35%,-0.07%,2.34,2.39,0.05
Jayce,TOP,Bad,Buff,35.21,-3.64,46.07%,46.89%,-0.82%,67.09%,67.11%,0.02%,1.52%,1.50%,-0.02%,0.42%,0.35%,-0.07%,1.97,2.01,0.04
Kalista,ADC,Bad,Buff,31.5,-0.76,48.44%,48.34%,0.10%,92.51%,92.18%,-0.33%,1.24%,1.28%,0.04%,0.17%,0.18%,0.01%,2.29,2.4,0.11
Kassadin,MID,Strong,Nerf,57.42,-4.2,51.20%,54.76%,-3.56%,87.79%,89.63%,1.84%,6.26%,5.76%,-0.50%,12.42%,18.69%,6.27%,2.61,2.48,-0.13
Kog'Maw,ADC,Bad,Nerf,36.39,-4.48,51.53%,52.66%,-1.13%,86.14%,89.10%,2.96%,1.26%,1.00%,-0.26%,0.13%,0.10%,-0.03%,2.23,2.22,-0.01
Mordekaiser,TOP,God,Nerf,90.49,-3.07,49.30%,51.94%,-2.64%,82.39%,82.55%,0.16%,13.55%,11.69%,-1.86%,28.17%,32.94%,4.77%,1.99,1.86,-0.13
Mordekaiser,MID,Above Average,Nerf,50.66,-4.45,52.72%,55.49%,-2.77%,14.56%,15.08%,0.52%,2.45%,2.05%,-0.40%,28.17%,32.94%,4.77%,2.3,2.15,-0.15
Nami,SUPPORT,God,Buff,75.32,18.23,53.35%,50.93%,2.42%,98.12%,98.18%,0.06%,5.42%,11.38%,5.96%,0.36%,1.03%,0.67%,3.14,3.36,0.22
Sejuani,JUNGLE,Below Average,Buff,44.52,0.79,47.30%,47.60%,-0.30%,93.10%,96.12%,3.02%,1.31%,2.22%,0.91%,0.23%,0.33%,0.10%,2.71,2.96,0.25
Shyvana,JUNGLE,Above Average,Buff,49.7,6.06,50.86%,48.22%,0.47%,87.62%,92.62%,5.00%,1.79%,2.59%,0.80%,0.34%,0.49%,0.15%,2.32,2.5,0.18
Sylas,MID,Above Average,Buff,48.78,11.39,47.46%,43.66%,3.80%,63.09%,63.77%,0.68%,2.09%,5.70%,3.61%,0.94%,3.23%,2.29%,2.02,2.13,0.11
Sylas,TOP,Weak,Buff,40.45,8.74,48.41%,44.39%,4.02%,22.31%,21.05%,-1.26%,0.68%,1.84%,1.16%,0.94%,3.23%,2.29%,1.87,1.93,0.06
Sylas,JUNGLE,Bad,Buff,36.85,5.13,46.07%,43.17%,2.90%,12.18%,13.25%,1.07%,0.35%,1.18%,0.83%,0.99%,3.23%,2.24%,2.1,2.21,0.11
Varus,ADC,Weak,Buff,39.08,0.74,48.16%,48.97%,-0.81%,91.07%,92.93%,1.86%,3.69%,5.17%,1.48%,0.25%,0.33%,0.08%,2.35,2.43,0.08
Vi,JUNGLE,Above Average,Buff,53.72,1.25,51.10%,51.59%,-0.49%,96.14%,97.33%,1.19%,4.36%,5.39%,1.03%,0.90%,0.94%,0.04%,2.2,2.22,0.02
Zyra,SUPPORT,Above Average,Nerf,49.05,-1.54,50.95%,51.71%,-0.76%,90.96%,91.82%,0.86%,3.57%,4.06%,0.49%,1.65%,1.67%,0.02%,2.33,2.28,-0.05
