"match","info__champion","info__spell1","info__spell2","info__win","info__kills","info__deaths","info__assists","info__totalDamageDealt","info__goldEarned","info__champLevel","info__totalMinionsKilled","info__item0","info__item1","info__timestamp"
"3567668610","81","4","12","False","1","5","1","113744","8840","13","205","2031","1036","1599598191768"
"3556697521","85","12","4","True","4","2","11","206687","14157","18","281","3907","3152","1598848426019"
"3554350484","2","4","11","False","4","6","5","155854","10216","13","15","1400","3047","1598681126494"
"3552988878","2","4","11","False","6","5","6","184580","12876","15","46","3143","3047","1598593827416"
"3551859968","875","6","12","True","4","1","2","84628","8241","13","145","1054","3047","1598506770976"
"3550036459","157","4","12","False","0","6","3","87036","7013","13","169","1055","3006","1598406076094"
"3549949507","432","4","14","True","0","4","15","24634","7325","13","35","3222","3860","1598403943279"
"3549952470","43","14","4","True","1","4","5","13157","5135","9","12","3851","3222","1598401643327"
"3549158202","51","7","4","False","1","9","1","42112","4569","9","78","2031","1055","1598338072590"
"3548467242","432","4","3","True","1","2","7","18799","4997","10","20","3222","3859","1598318796015"
"3548385514","25","4","14","True","1","6","21","39810","9247","13","23","3114","3853","1598315390464"
"3547534836","235","7","4","False","4","6","4","28991","7873","12","38","3108","3864","1598247661370"
"3547522942","875","6","4","False","0","2","0","83430","7797","13","165","3111","3751","1598244691126"
"3547427995","64","11","4","False","3","4","6","154846","10004","14","38","3155","1400","1598242597493"
"3547342141","1","4","6","False","0","1","0","37944","4369","10","104","1056","3020","1598237834486"
"3546186260","875","4","11","False","3","4","10","145949","10635","14","26","3047","3083","1598163720214"
"3546080756","876","4","11","False","2","3","3","159533","8090","13","17","1402","3047","1598158607911"
"3545839373","412","4","14","True","1","5","18","23040","8432","15","30","3222","3857","1598155324053"
"3544535873","133","3","4","True","2","1","1","47549","7067","11","124","3153","1083","1598072625657"
"3544444735","412","4","14","False","0","5","3","8284","3471","7","21","2031","3855","1598067208429"
"3544336329","89","4","14","False","0","6","7","21225","5915","11","37","3193","3857","1598064386497"
"3543219360","64","4","11","False","1","8","6","101817","7270","12","12","3109","3067","1597992444911"
"3543211704","64","11","4","False","7","6","5","118910","9904","13","29","1412","3047","1597989237998"
"3543128224","127","12","4","False","0","2","0","49110","4488","10","111","2031","1056","1597987980193"
"3543121360","114","4","12","True","3","2","1","78899","8382","13","141","3074","2031","1597985728941"
"3542874588","98","4","14","False","1","10","6","124831","9685","16","196","1054","3748","1597980628315"
"3541797619","236","4","1","True","5","3","4","128590","10257","14","187","3006","3153","1597904432091"
"3541788769","43","4","3","True","3","1","4","19650","5067","7","4","2031","3851","1597901601360"
"3541722156","875","4","11","True","6","8","14","156403","12407","16","47","3190","1401","1597898861826"
"3541660650","64","11","4","True","8","2","10","85924","8644","12","17","0","2031","1597895501502"
"3541555259","43","4","3","False","0","5","7","16536","4037","8","10","3174","3851","1597891612677"
"3540173030","133","4","1","True","1","7","4","132587","10766","16","214","3140","3094","1597812023813"
"3540044687","25","4","14","False","1","4","9","23301","6452","11","14","3009","3853","1597809242078"
"3539859078","81","4","7","False","9","7","6","157033","13979","14","203","3158","3025","1597801241956"
"3539096636","106","11","4","True","6","2","6","146137","10218","14","20","3742","2420","1597729263078"
"3539119896","142","14","4","True","10","2","5","133782","12408","16","198","3285","0","1597726723777"
"3538982742","104","11","14","True","4","8","6","212832","12841","16","53","3179","3155","1597720842116"
"3538911664","875","12","4","False","2","7","9","130985","11093","16","165","1029","3193","1597717215248"
"3538785650","43","4","14","True","2","5","13","24990","7039","11","11","2031","3853","1597714865762"
"3537756120","64","11","4","False","4","8","6","89755","7156","11","19","1412","2055","1597646046316"
"3537730855","58","4","14","True","6","3","1","112025","9833","14","172","3134","3153","1597643274765"
"3537682902","126","12","4","True","8","5","8","221372","15595","18","253","3071","2421","1597640428746"
"3537617740","76","4","11","True","8","1","1","109942","8310","12","9","1414","2031","1597638534079"
"3537541881","80","4","14","False","4","9","4","38360","7024","11","35","2031","3857","1597633260251"
"3537338226","876","4","11","False","4","6","2","100880","7383","11","19","1402","3157","1597625365204"
"3532608121","84","4","12","True","3","0","3","56875","6227","11","125","0","2031","1597292459734"
"3531455818","99","4","3","True","0","2","12","21263","6545","10","8","2031","3853","1597208328686"
"3531087779","246","4","14","False","5","5","4","77603","7795","13","134","3147","3134","1597201849722"
"3531047910","80","12","4","False","8","7","3","83111","10200","13","148","2033","3133","1597198987507"
"3531008128","121","4","11","False","2","6","5","172271","10310","14","16","1400","3814","1597196059643"
"3530188702","62","4","12","False","3","6","9","157291","11718","15","194","3812","3077","1597126333599"
"3530193565","121","4","11","True","9","1","10","175910","11148","15","10","3147","3071","1597124299611"
"3530115333","121","11","4","False","12","11","14","159722","12425","15","15","1412","3812","1597121073985"
"3530055851","12","14","4","True","2","4","12","24358","8080","12","30","3047","2065","1597117954137"
"3530020316","25","4","14","False","0","9","6","15874","6816","11","15","3114","3853","1597113347731"
"3529893170","92","4","12","False","4","8","5","101665","9162","14","151","3111","3812","1597110728561"
"3527579252","245","12","4","False","10","5","6","265751","17541","18","253","3152","1026","1596951246141"
"3527477703","126","12","4","True","1","5","7","123795","9253","15","184","3134","3071","1596947149747"
"3527337629","412","4","14","False","0","3","3","10060","3819","8","25","2031","3855","1596940753418"
